block,blockface_mean
1ST AVE BETWEEN BATTERY ST AND WALL ST,0.49832300378335326
1ST AVE BETWEEN BELL ST AND BATTERY ST,0.4922133927466122
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,0.2816748135128511
1ST AVE BETWEEN BROAD ST AND EAGLE ST,0.21811053738764583
1ST AVE BETWEEN CEDAR ST AND CLAY ST,0.29085820363235476
1ST AVE BETWEEN CLAY ST AND BROAD ST,0.2867419870240331
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,0.5340747931324394
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,0.734913901458019
1ST AVE BETWEEN VINE ST AND CEDAR ST,0.43585501570865964
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,0.4862662959791904
1ST AVE BETWEEN WALL ST AND VINE ST,0.3578346534497628
1ST AVE BETWEEN WARREN PL AND BAY ST,0.20550135144043774
2ND AVE BETWEEN BATTERY ST AND WALL ST,0.4116170101553166
2ND AVE BETWEEN BELL ST AND BATTERY ST,0.5457249465986025
2ND AVE BETWEEN BLANCHARD ST AND BELL ST,0.4239745375450061
2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,0.4841905615292712
2ND AVE BETWEEN CEDAR ST AND CLAY ST,0.25923644298420284
2ND AVE BETWEEN CLAY ST AND BROAD ST,0.2833152877339705
2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,0.34025279776179057
2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,0.3298142855277528
2ND AVE BETWEEN VINE ST AND CEDAR ST,0.3251748556352051
2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,0.4174480024037871
2ND AVE BETWEEN WALL ST AND VINE ST,0.5293028798287535
3RD AVE BETWEEN BATTERY ST AND WALL ST,0.5675806807191215
3RD AVE BETWEEN BELL ST AND BATTERY ST,0.48508811230585425
3RD AVE BETWEEN BLANCHARD ST AND BELL ST,0.232879186884788
3RD AVE BETWEEN CEDAR ST AND CLAY ST,0.4546579425527678
3RD AVE BETWEEN CLAY ST AND BROAD ST,0.4470977698128236
3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,0.15570791296075048
3RD AVE BETWEEN VINE ST AND CEDAR ST,0.26048951048951047
3RD AVE BETWEEN WALL ST AND VINE ST,0.46712196889242885
4TH AVE BETWEEN BATTERY ST AND WALL ST,0.6177839727421568
4TH AVE BETWEEN BELL ST AND BATTERY ST,0.40803690843621404
4TH AVE BETWEEN BLANCHARD ST AND BELL ST,0.23300590730919082
4TH AVE BETWEEN CEDAR ST AND CLAY ST,0.4979158369839373
4TH AVE BETWEEN LENORA ST AND BLANCHARD ST,0.4429933293508562
4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,0.4885993296163547
4TH AVE BETWEEN VINE ST AND CEDAR ST,0.3452748531461569
4TH AVE BETWEEN VIRGINIA ST AND LENORA ST,0.458921568627451
4TH AVE BETWEEN WALL ST AND VINE ST,0.6069388263071058
5TH AVE BETWEEN BATTERY ST AND WALL ST,0.4744947232178415
5TH AVE BETWEEN BELL ST AND BATTERY ST,0.6024630880033238
5TH AVE BETWEEN BLANCHARD ST AND BELL ST,0.41703538436333876
5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,0.381327836092621
5TH AVE BETWEEN STEWART ST AND VIRGINIA ST,0.41591233097245617
5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY,0.4015344216167856
5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,0.3409998454353293
5TH AVE BETWEEN WALL ST AND VINE ST,0.36963319794490584
ALASKAN WAY BETWEEN BLANCHARD ST AND XW BELL ST,0.24643458281701777
ALASKAN WAY BETWEEN CLAY ST AND BROAD ST,0.7084299084030267
ALASKAN WAY BETWEEN LENORA ST AND BLANCHARD ST,0.39422725105688816
ALASKAN WAY BETWEEN PINE ST AND VIRGINIA ST,0.28613516113516113
ALASKAN WAY BETWEEN VINE ST AND CLAY ST,0.3460409144080049
ALASKAN WAY BETWEEN VIRGINIA ST AND LENORA ST,0.2768817204301075
ALASKAN WAY BETWEEN WALL ST AND VINE ST,0.35147506082725055
ALASKAN WAY BETWEEN XW BELL ST AND WALL ST,0.2328340855790079
BATTERY ST BETWEEN 1ST AVE AND 2ND AVE,0.5453298684318411
BATTERY ST BETWEEN 2ND AVE AND 3RD AVE,0.4877209030266826
BATTERY ST BETWEEN 3RD AVE AND 4TH AVE,0.3445313544591523
BATTERY ST BETWEEN 4TH AVE AND 5TH AVE,0.4538144663480685
BATTERY ST BETWEEN 5TH AVE AND AURORA AVE,0.5293969036240541
BATTERY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.3529532556750299
BAY ST BETWEEN WESTERN AVE AND 1ST AVE,0.32826314217443253
BELL ST BETWEEN 1ST AVE AND 2ND AVE,0.20134142685851317
BELL ST BETWEEN 2ND AVE AND 3RD AVE,0.25180194134655104
BELL ST BETWEEN 3RD AVE AND 4TH AVE,0.1723959949457528
BELL ST BETWEEN 4TH AVE AND 5TH AVE,0.1387887889145806
BELL ST BETWEEN 5TH AVE AND 6TH AVE,0.2361373401278977
BELL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.20839472985530333
BELL ST BETWEEN WESTERN AVE AND 1ST AVE,0.3894626974644896
BLANCHARD ST BETWEEN 1ST AVE AND 2ND AVE,0.2686583078571931
BLANCHARD ST BETWEEN 2ND AVE AND 3RD AVE,0.22745062749543038
BLANCHARD ST BETWEEN 3RD AVE AND 4TH AVE,0.24449155416692087
BLANCHARD ST BETWEEN 4TH AVE AND 5TH AVE,0.5072722092154407
BLANCHARD ST BETWEEN 5TH AVE AND 6TH AVE,0.3534924901860385
BLANCHARD ST BETWEEN WESTERN AVE AND 1ST AVE,0.4331223864994026
BROAD ST BETWEEN 2ND AVE AND 3RD AVE,0.4333499274158119
BROAD ST BETWEEN WESTERN AVE AND 1ST AVE,0.2261300959232614
CEDAR ST BETWEEN 1ST AVE AND 2ND AVE,0.2804861718563757
CEDAR ST BETWEEN 2ND AVE AND 3RD AVE,0.3543012175001422
CEDAR ST BETWEEN 3RD AVE AND 4TH AVE,0.44451849362803664
CEDAR ST BETWEEN 4TH AVE AND DENNY WAY,0.5914237355635205
CEDAR ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.37466854174963493
CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE,0.2867979501305367
CLAY ST BETWEEN 1ST AVE AND 2ND AVE,0.29638768811518346
CLAY ST BETWEEN 2ND AVE AND 3RD AVE,0.3818821270987336
CLAY ST BETWEEN 3RD AVE AND 4TH AVE,0.32722738699721227
CLAY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.25892265209548576
CLAY ST BETWEEN WESTERN AVE AND 1ST AVE,0.23976441564979614
EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE,0.4719994524093986
EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE,0.28762634882706567
ELLIOTT AVE BETWEEN BATTERY ST AND WALL ST,0.5099544148603289
ELLIOTT AVE BETWEEN BELL ST AND BATTERY ST,0.4488917512943051
ELLIOTT AVE BETWEEN CEDAR ST AND CLAY ST,0.4082308863369892
ELLIOTT AVE BETWEEN CLAY ST AND BROAD ST,0.46773683886139084
ELLIOTT AVE BETWEEN LENORA ST AND BLANCHARD ST,0.3924995281552536
ELLIOTT AVE BETWEEN VINE ST AND CEDAR ST,0.21944062197758435
ELLIOTT AVE BETWEEN WALL ST AND VINE ST,0.30223221397280536
LENORA ST BETWEEN 1ST AVE AND 2ND AVE,0.5891605062724015
LENORA ST BETWEEN 2ND AVE AND 3RD AVE,0.23516328156113103
LENORA ST BETWEEN 3RD AVE AND 4TH AVE,0.2846948426921545
LENORA ST BETWEEN 4TH AVE AND 5TH AVE,0.18896657371499825
LENORA ST BETWEEN 5TH AVE AND 6TH AVE,0.19676399309794645
LENORA ST BETWEEN WESTERN AVE AND 1ST AVE,0.5159725778005347
STEWART ST BETWEEN 4TH AVE AND 5TH AVE,0.43916557253471145
TAYLOR AVE BETWEEN 5TH AVE AND DENNY WAY,0.5615481593545133
VINE ST BETWEEN 1ST AVE AND 2ND AVE,0.43621814018319394
VINE ST BETWEEN 2ND AVE AND 3RD AVE,0.4125008296827293
VINE ST BETWEEN 3RD AVE AND 4TH AVE,0.493754072987944
VINE ST BETWEEN 4TH AVE AND 5TH AVE,0.6163779370768617
VINE ST BETWEEN 5TH AVE AND DENNY WAY,0.347381602797695
VINE ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,0.18657053275290217
VINE ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.23195015416238435
VINE ST BETWEEN WESTERN AVE AND 1ST AVE,0.37409080227180586
VIRGINIA ST BETWEEN 1ST AVE AND 2ND AVE,0.5978592052113557
VIRGINIA ST BETWEEN 2ND AVE AND 3RD AVE,0.3368773719338594
VIRGINIA ST BETWEEN 4TH AVE AND 5TH AVE,0.39932051628227505
VIRGINIA ST BETWEEN 5TH AVE AND 6TH AVE,0.33754535598920304
VIRGINIA ST BETWEEN PIKE PL AND POST AL,0.9653010088941988
VIRGINIA ST BETWEEN POST AL AND 1ST AVE,0.009138110072689512
WALL ST BETWEEN 1ST AVE AND 2ND AVE,0.5950043420062835
WALL ST BETWEEN 2ND AVE AND 3RD AVE,0.43047424664808176
WALL ST BETWEEN 3RD AVE AND 4TH AVE,0.2648422792586687
WALL ST BETWEEN 4TH AVE AND 5TH AVE,0.40207590177857716
WALL ST BETWEEN 5TH AVE AND 6TH AVE,0.39577563070316696
WALL ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,0.4203046594982079
WALL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.31614241599258347
WALL ST BETWEEN WESTERN AVE AND 1ST AVE,0.38983856482297563
WARREN PL BETWEEN 1ST AVE AND DENNY WAY,0.3121390144017523
WESTERN AVE BETWEEN BATTERY ST AND WALL ST,0.4081902130625249
WESTERN AVE BETWEEN BAY ST AND QUEEN ANNE AVE,0.6090288432034366
WESTERN AVE BETWEEN BELL ST AND BATTERY ST,0.41117459483793517
WESTERN AVE BETWEEN BLANCHARD ST AND BELL ST,0.27901362201800795
WESTERN AVE BETWEEN BROAD ST AND EAGLE ST,0.376273677580939
WESTERN AVE BETWEEN CEDAR ST AND CLAY ST,0.24483468186246454
WESTERN AVE BETWEEN CLAY ST AND BROAD ST,0.23247496534374434
WESTERN AVE BETWEEN EAGLE ST AND BAY ST,0.3955962132396146
WESTERN AVE BETWEEN LENORA ST AND BLANCHARD ST,0.50537877087089
WESTERN AVE BETWEEN PINE ST AND VIRGINIA ST,0.24531334853915499
WESTERN AVE BETWEEN VINE ST AND CEDAR ST,0.5059510175135725
WESTERN AVE BETWEEN VIRGINIA ST AND LENORA ST,0.6441990361457207
WESTERN AVE BETWEEN WALL ST AND VINE ST,0.2684001553877226
